kbjd,flux,ferr
737.18178819, 147148.515625, 10.6489076614
737.202221252, 147133.328125, 10.6485185623
737.222654314, 147141.40625, 10.6482334137
737.243087476, 147140.796875, 10.6485967636
737.263520439, 147122.6875, 10.6486673355
737.283953501, 147155.203125, 10.649389267
737.324819628, 147099.9375, 10.631152153
737.345252792, 147163.15625, 10.647274971
737.365685856, 147129.046875, 10.6479558945
737.386118821, 147099.953125, 10.6501407623
737.406551985, 147108.046875, 10.6499557495
737.42698505, 147129.78125, 10.6512212753
737.447418016, 147073.703125, 10.6495141983
737.467851181, 147107.71875, 10.6502466202
737.488284247, 147095.5, 10.6505098343
737.508717213, 147154.1875, 10.6519031525
737.52915038, 147137.65625, 10.6496782303
737.549583446, 147181.5625, 10.6517152786
737.570016614, 147127.1875, 10.6525163651
737.590449581, 147108.6875, 10.6515226364
737.610882649, 147136.359375, 10.6527700424
737.631315816, 147141.9375, 10.6523609161
737.651748785, 147149.5, 10.6519575119
737.672181853, 147159.328125, 10.6510038376
737.692615022, 147123.90625, 10.6522846222
737.713048091, 147133.265625, 10.6527509689
737.733481061, 147127.015625, 10.6508703232
737.753914231, 147123.1875, 10.6534175873
737.774347201, 147114.90625, 10.6522407532
737.794780371, 147135.03125, 10.6523809433
737.815213442, 147139.6875, 10.6534042358
737.835646413, 147103.359375, 10.6520757675
737.856079584, 147100.703125, 10.6547851562
737.876512655, 147105.4375, 10.6504268646
737.896945627, 147154.78125, 10.6527099609
737.917378799, 147109.75, 10.6526794434
737.937811872, 147127.921875, 10.6528291702
737.958245045, 147177.796875, 10.6525621414
737.978678018, 147196.921875, 10.6541118622
737.999111091, 147182.546875, 10.6521806717
738.019544265, 147154.046875, 10.6542081833
738.039977239, 147159.859375, 10.6529426575
738.060410313, 147149.921875, 10.6525592804
738.080843487, 147096.03125, 10.6538553238
738.101276462, 147048.5, 10.6536617279
738.121709537, 147068.953125, 10.653014183
738.142142713, 147106.1875, 10.6546649933
738.162575688, 147129.546875, 10.653137207
738.183008864, 147118.78125, 10.6529636383
738.203441941, 147119.890625, 10.6534690857
738.223875017, 147092.65625, 10.6538896561
738.244308094, 147115.390625, 10.6547632217
738.264741172, 147130.234375, 10.654384613
738.285174249, 147157.0625, 10.6540565491
738.305607327, 147144.203125, 10.6523551941
738.326040405, 147119.359375, 10.6544589996
738.346473484, 147147.46875, 10.6535959244
738.366906662, 147144.1875, 10.653670311
738.387339641, 147110.890625, 10.6540784836
738.407772821, 147135.953125, 10.6539869308
738.4282058, 147179.421875, 10.6535730362
738.44863888, 147144.71875, 10.6528625488
738.469072061, 147143.296875, 10.6541891098
738.489505041, 147099.0625, 10.6542901993
738.509938122, 147161.546875, 10.6525287628
738.530371303, 147148.296875, 10.6541528702
738.550804285, 147121.40625, 10.6534967422
738.571237366, 147130.734375, 10.6533517838
738.591670548, 147138.75, 10.6534042358
738.612103531, 147162.609375, 10.6552457809
738.632536713, 147129.828125, 10.6528301239
738.652969796, 147130.421875, 10.6538600922
738.67340278, 147155.40625, 10.6549921036
738.693835963, 147148.859375, 10.6526737213
738.714269047, 147179.96875, 10.6541118622
738.734702131, 147092.09375, 10.6540498734
738.755135216, 147130.171875, 10.6533660889
738.775568301, 147096.609375, 10.6542825699
738.796001386, 147101.71875, 10.6536312103
738.816434471, 147106.375, 10.6542072296
738.836867557, 147130.921875, 10.6549425125
738.857300743, 147125.203125, 10.6539020538
738.877733829, 147099.140625, 10.6530895233
738.898166815, 147147.984375, 10.6547307968
738.918600002, 147160.4375, 10.6533050537
738.93903309, 147108.84375, 10.6530895233
738.959466077, 147092.609375, 10.6552524567
738.979899265, 147104.90625, 10.6550254822
739.000332353, 147164.375, 10.6557388306
739.020765341, 147100.4375, 10.6547107697
739.04119853, 147139.734375, 10.6534976959
739.061631519, 147150.4375, 10.6558561325
739.082064708, 147155.296875, 10.6545782089
739.102497798, 147136.75, 10.6555767059
739.122930788, 147195.578125, 10.6560716629
739.143363978, 147152.875, 10.6536617279
739.163797069, 147121.78125, 10.6542730331
739.184230059, 147120.53125, 10.6544113159
739.204663251, 147077.515625, 10.6551885605
739.225096342, 147096.875, 10.655380249
739.245529534, 147106.78125, 10.6550207138
739.265962526, 147114.546875, 10.6567773819
739.286395618, 147137.8125, 10.655371666
739.306828811, 147142.734375, 10.6548900604
