kbjd,flux,ferr
541.330038958, 150371.609375, 10.423699379
541.350473284, 150357.53125, 10.4238300323
541.37090751, 150330.421875, 10.4239597321
541.391341635, 150356.484375, 10.4240894318
541.411775961, 150359.765625, 10.4242191315
541.432210186, 150346.53125, 10.4242420197
541.452644311, 150345.890625, 10.4242658615
541.473078635, 150339.75, 10.4242887497
541.49351286, 150339.09375, 10.4243116379
541.513946984, 150346.296875, 10.4243345261
541.534381308, 150356.25, 10.4243583679
541.554815532, 150394.71875, 10.4243812561
541.575249755, 150384.9375, 10.4244041443
541.595683978, 150419.90625, 10.4244279861
541.616118201, 150429.546875, 10.4244508743
541.636552424, 150433.765625, 10.4244737625
541.656986647, 150393.875, 10.4244976044
541.677420869, 150404.359375, 10.4245204926
541.697855191, 150401.625, 10.4245433807
541.718289313, 150397.734375, 10.4245662689
541.738723535, 150322.328125, 10.4245901108
541.759157856, 150385.125, 10.424612999
541.779592077, 150404.8125, 10.4246358871
541.800026199, 150384.984375, 10.4246587753
541.820460519, 150393.734375, 10.4246826172
541.84089464, 150382.453125, 10.4247055054
541.86132886, 150375.75, 10.4247283936
541.88176318, 150373.375, 10.4247522354
541.9021973, 150371.515625, 10.4247751236
541.92263152, 150382.40625, 10.4247684479
541.943065839, 150390.46875, 10.4247598648
541.963499958, 150382.25, 10.4247522354
541.983934277, 150374.765625, 10.4247455597
542.004368496, 150395.484375, 10.4247379303
542.024802615, 150446.234375, 10.4247312546
542.045236933, 150434.0, 10.4247226715
542.065671151, 150393.90625, 10.4247150421
542.086105269, 150386.765625, 10.4247083664
542.106539587, 150353.140625, 10.424700737
542.126973804, 150369.921875, 10.4246921539
542.147408021, 150363.40625, 10.4246854782
542.167842238, 150399.203125, 10.4246778488
542.188276455, 150434.984375, 10.4246711731
542.208710671, 150426.234375, 10.4246635437
542.229144988, 150416.15625, 10.4246559143
542.249579104, 150336.609375, 10.4246482849
542.270013419, 150330.28125, 10.4246406555
542.290447635, 150354.078125, 10.4246330261
542.31088175, 150334.5625, 10.4246263504
542.331316065, 150399.25, 10.4246177673
542.35175028, 150376.1875, 10.4246110916
542.372184395, 150405.734375, 10.4246034622
542.392618709, 150366.625, 10.4245948792
542.413052924, 150393.390625, 10.4244775772
542.433487038, 150383.796875, 10.4243583679
542.453921351, 150406.046875, 10.4242391586
542.474355565, 150450.9375, 10.4241199493
542.494789678, 150413.328125, 10.4240016937
542.515223991, 150390.046875, 10.4238824844
542.535658104, 150368.375, 10.4237632751
542.556092417, 150352.765625, 10.4236440659
542.576526629, 150350.3125, 10.4235258102
542.596960741, 150366.3125, 10.423406601
542.617395053, 150436.71875, 10.4232873917
542.637829265, 150386.75, 10.423169136
542.658263476, 150371.21875, 10.4230499268
542.678697688, 150340.984375, 10.4229307175
542.699131899, 150372.421875, 10.4228115082
542.719566109, 150366.3125, 10.4226932526
542.74000032, 150388.109375, 10.4225740433
542.76043453, 150308.015625, 10.422454834
542.78086874, 150389.75, 10.4223356247
542.80130305, 150361.9375, 10.4222173691
542.82173716, 150355.359375, 10.4220981598
542.842171369, 150328.015625, 10.4219789505
542.862605679, 150312.703125, 10.4218597412
542.883039787, 150356.890625, 10.4217414856
542.903474096, 150369.6875, 10.4218263626
542.923908305, 150368.4375, 10.4219102859
542.944342413, 150359.46875, 10.4219961166
542.964776721, 150353.71875, 10.42208004
542.985210929, 150365.515625, 10.422164917
543.005645036, 150410.203125, 10.422249794
543.026079344, 150431.171875, 10.422334671
543.046513551, 150401.4375, 10.4224185944
543.066947758, 150400.15625, 10.422504425
543.087381964, 150380.671875, 10.4225883484
543.107816171, 150334.53125, 10.4226732254
543.128250377, 150303.90625, 10.4227581024
543.148684583, 150361.921875, 10.4228429794
543.169118789, 150349.75, 10.4229269028
543.189552994, 150357.375, 10.4230127335
543.2099872, 150381.015625, 10.4230966568
543.230421405, 150373.734375, 10.4231815338
543.25085561, 150351.59375, 10.4232664108
543.271289814, 150298.5625, 10.4233512878
543.291724018, 150374.109375, 10.4234352112
543.312158323, 150336.453125, 10.4235191345
543.332592426, 150409.859375, 10.4236049652
543.35302663, 150389.78125, 10.4236898422
543.373460934, 150423.78125, 10.4237747192
543.393895037, 150402.140625, 10.4236421585
543.41432924, 150402.703125, 10.4235095978
543.434763542, 150368.25, 10.4233779907
543.455197645, 150356.875, 10.42324543
543.475631947, 150349.703125, 10.4231147766
543.496066149, 150322.59375, 10.4229822159
543.516500251, 150352.4375, 10.4228506088
543.536934553, 150365.25, 10.4227180481
543.557368754, 150382.609375, 10.4225854874
543.577802855, 150375.609375, 10.4224538803
543.598237156, 150313.734375, 10.4223213196
543.618671357, 150314.375, 10.4221897125
543.639105557, 150362.484375, 10.4220571518
543.659539757, 150410.609375, 10.4219245911
543.679973957, 150373.65625, 10.421792984
543.700408157, 150380.4375, 10.4216604233
543.720842357, 150395.171875, 10.4215288162
543.741276556, 150365.78125, 10.4213962555
543.761710755, 150389.3125, 10.4212656021
543.782144954, 150343.484375, 10.4211330414
543.802579152, 150402.203125, 10.4210004807
543.823013451, 150376.609375, 10.4208688736
543.843447649, 150376.28125, 10.4207363129
543.863881747, 150377.296875, 10.4206047058
543.884316044, 150357.359375, 10.4206571579
543.904750142, 150376.796875, 10.42070961
543.925184339, 150338.3125, 10.4207620621
543.945618636, 150336.234375, 10.4208145142
543.966052733, 150404.03125, 10.4208679199
543.986486929, 150371.59375, 10.420920372
544.006921225, 150359.6875, 10.4209728241
544.027355321, 150363.734375, 10.4210262299
544.047789517, 150368.578125, 10.4210786819
544.068223813, 150413.671875, 10.4211320877
544.109092203, 150376.453125, 10.4212360382
544.129526398, 150388.40625, 10.421289444
544.149960593, 150381.71875, 10.4213418961
544.170394787, 150410.203125, 10.4213953018
544.190828981, 150369.703125, 10.4214477539
544.211263175, 150367.21875, 10.4215011597
544.231697369, 150361.4375, 10.4215526581
544.252131562, 150370.53125, 10.4216051102
544.272565756, 150329.828125, 10.4216594696
544.293000049, 150348.921875, 10.421710968
544.313434141, 150344.359375, 10.4217643738
544.333868334, 150365.703125, 10.4218168259
544.354302626, 150411.625, 10.421869278
544.374736718, 150348.265625, 10.4217853546
544.39517101, 150399.671875, 10.4217014313
544.415605202, 150370.96875, 10.4216184616
544.436039293, 150372.21875, 10.4215345383
544.456473584, 150368.296875, 10.4214506149
544.476907775, 150371.84375, 10.4213676453
544.497341865, 150328.1875, 10.4212837219
544.517776156, 150356.984375, 10.4211988449
544.538210346, 150389.5625, 10.4211149216
544.558644436, 150373.546875, 10.4210319519
544.579078726, 150435.0, 10.4209480286
544.599512815, 150371.640625, 10.4208641052
544.619947004, 150321.59375, 10.4207811356
544.640381294, 150329.984375, 10.4206972122
544.660815482, 150353.828125, 10.4206123352
544.681249571, 150360.546875, 10.4205284119
544.701683859, 150320.78125, 10.4204454422
544.722118047, 150345.765625, 10.4203615189
544.742552235, 150305.546875, 10.4202775955
544.762986423, 150325.296875, 10.4201936722
544.78342061, 150336.484375, 10.4201107025
544.803854797, 150340.59375, 10.4200267792
544.824288984, 150342.59375, 10.4199419022
544.844723171, 150339.078125, 10.4198579788
544.865157457, 150392.0625, 10.419883728
544.885591543, 150357.5625, 10.4199075699
544.906025729, 150375.96875, 10.4199314117
544.926460015, 150299.5, 10.4199562073
544.9468941, 150304.1875, 10.4199810028
544.967328286, 150347.609375, 10.4200048447
544.987762571, 150330.46875, 10.4200286865
545.008196655, 150346.21875, 10.4200534821
545.02863094, 150332.046875, 10.4200782776
545.049065124, 150368.515625, 10.4201021194
545.069499208, 150372.75, 10.4201259613
545.089933492, 150357.59375, 10.4201517105
545.110367676, 150329.375, 10.4201755524
545.130801859, 150357.984375, 10.4201993942
545.151236042, 150309.0625, 10.4202241898
545.171670225, 150349.0, 10.4202489853
545.192104408, 150336.9375, 10.4202728271
545.21253859, 150255.734375, 10.4202976227
545.232972773, 150346.140625, 10.4203214645
545.253406954, 150274.375, 10.4203462601
545.273841136, 150375.8125, 10.4203701019
545.294275318, 150342.25, 10.4203948975
545.314709599, 150323.390625, 10.420419693
